date,latest_release,pypi_last_day,pypi_last_week,pypi_last_month,pypi_last_month_with_mirrors,pypi_py3_7_30d,pypi_py3_8_30d,pypi_py3_9_30d,pypi_py3_10_30d,pypi_py3_11_30d,pypi_py3_12_30d,pypi_py3_13_30d,pypi_py_other_30d,ecr_pulls_total,ecr_pulls_delta,github_binary_downloads_total,github_binary_downloads_delta,gh_linux_amd64,gh_linux_arm64,gh_darwin_amd64,gh_darwin_arm64,gh_windows_amd64,gh_windows_arm64
2026-07-02,v1.10.0,78,544,1560,3736,6,3,6,2,9,328,665,576,2872,,1583,,141,138,140,153,145,142
2026-07-06,v1.10.0,44,397,1399,3540,6,3,6,1,15,336,637,544,2958,86,1584,1,142,138,140,153,145,142
2026-07-13,v1.10.0,,,,3577,6,3,5,1,15,338,733,554,3023,65,1588,4,143,138,141,154,146,142
2026-07-20,v2.0.2,30,650,2128,4950,12,6,2,2,30,346,843,887,3133,110,1592,4,143,138,142,156,147,142
2026-07-27,v2.1.2,17,904,2487,5272,10,5,2,4,38,380,1075,973,3289,156,1624,32,146,140,143,167,153,144
2026-08-03,v2.2.1,35,964,3061,6606,16,5,6,11,47,372,1306,1298,3591,302,1764,140,160,153,156,187,167,158
